#name,region,country,latitude,longitude,location_type,conflict_date,population
Kobo Zuria,Amhara,Ethiopia,12.1169,39.6771,conflict_zone,285,0
Tulu Milki,Oromia,Ethiopia,9.9223,38.3418,conflict_zone,286,0
Ali Doro,Oromia,Ethiopia,9.7698,38.5154,conflict_zone,286,0
Kilbeabo,Oromia,Ethiopia,9.2598,38.1284,conflict_zone,287,0
Awara,Oromia,Ethiopia,9.5667,38.0333,conflict_zone,290,0
Zobel Mountains,Amhara,Ethiopia,12.2197,39.7235,conflict_zone,290,0
Inchini,Oromia,Ethiopia,9.3167,38.3833,conflict_zone,291,0
Gohatsion,Oromia,Ethiopia,10.0031,38.2475,conflict_zone,291,0
Dabala Bolo,Oromia,Ethiopia,9.8776,38.4433,conflict_zone,293,0
Sirinka,Amhara,Ethiopia,11.7578,39.6051,conflict_zone,293,0
Abado,Oromia,Ethiopia,9.8402,38.4529,conflict_zone,293,0
Kuch,Amhara,Ethiopia,10.4939,37.0216,conflict_zone,295,0
Wabe,Oromia,Ethiopia,9.6333,38.65,conflict_zone,295,0
Wirgesa,Amhara,Ethiopia,11.55,39.6167,conflict_zone,296,0
Gimbi,Oromia,Ethiopia,9.1667,35.8333,conflict_zone,297,64300
Shenen,Oromia,Ethiopia,8.7333,37.4667,conflict_zone,300,0
Homa town,Oromia,Ethiopia,9.0793,35.7005,conflict_zone,303,0
Bube town,Oromia,Ethiopia,8.8485,35.7968,conflict_zone,303,0
Ejerssa,Oromia,Ethiopia,10.0003,38.4153,conflict_zone,304,0
Wara Jarso,Oromia,Ethiopia,9.8352,38.2536,conflict_zone,304,0
Wichale,Amhara,Ethiopia,11.5148,39.6076,conflict_zone,307,0
Degolo,Amhara,Ethiopia,10.4215,39.2557,conflict_zone,312,0
Kone Town,Oromia,Ethiopia,8.6897,36.285,conflict_zone,319,0
Ilu Harer,Oromia,Ethiopia,8.9121,36.1343,conflict_zone,319,0
Dega,Oromia,Ethiopia,8.5833,36.1123,conflict_zone,319,0
Abomsa,Oromia,Ethiopia,8.5907,39.8588,conflict_zone,319,30400
Yaya Haro,Oromia,Ethiopia,9.608,38.4843,conflict_zone,319,0
Gulele,Oromia,Ethiopia,9.7833,38.6667,conflict_zone,321,0
Iteya,Oromia,Ethiopia,8.1333,39.2333,conflict_zone,321,31100
Incinni,Oromia,Ethiopia,8.8,37.65,conflict_zone,322,0
Moyale,Oromia,Ethiopia,3.5391,39.049,conflict_zone,322,57000
Fincha Sugar Factory,Oromia,Ethiopia,9.6926,37.4281,conflict_zone,323,0
Malima,Oromia,Ethiopia,8.5167,38.3833,conflict_zone,325,0
Guna,Oromia,Ethiopia,7.5167,39.4333,conflict_zone,326,0
Gobesa,Oromia,Ethiopia,7.6167,39.5,conflict_zone,326,23200
Hinde,Oromia,Ethiopia,9.978,36.4525,conflict_zone,330,0
Dibate,Benshangul/Gumuz,Ethiopia,10.65,36.2155,conflict_zone,334,21300
Barbara,Benshangul/Gumuz,Ethiopia,10.6,36.2667,conflict_zone,334,0
Melkadida,Somali,Ethiopia,4.5277801,41.7250996,camp,0,41804
Bokolmanyo,Somali,Ethiopia,4.5316201,41.5369015,camp,0,32265
Kobe,Somali,Ethiopia,4.4831533,41.7564201,camp,0,37527
Helaweyn,Somali,Ethiopia,4.3665831,41.8593599,camp,0,48947
Buramino,Somali,Ethiopia,4.3007472,41.9337459,camp,0,47274
Sheder,Somali,Ethiopia,9.7020584,43.1315085,camp,0,14599
Aw-barre,Somali,Ethiopia,9.7834822,43.2239854,camp,0,13262
Kebribeyah,Somali,Ethiopia,9.099511,43.1738871,camp,0,17846
Okugo,Gambela,Ethiopia,6.4901358,35.1289466,camp,0,13769
Pinyudo,Gambela,Ethiopia,7.6470239,34.2572333,camp,0,51119
Kule,Gambela,Ethiopia,8.3032636,34.2609099,camp,0,52914
Tierkidi,Gambela,Ethiopia,8.2765403,34.2918179,camp,0,72448
Jewi,Gambela,Ethiopia,8.1410307,34.7145155,camp,0,67903
Sherkole,Benshangul/Gumuz,Ethiopia,10.666669845581055,34.83332824707031,camp,0,13540
Tsore,Benshangul/Gumuz,Ethiopia,10.2363348,34.6146235,camp,0,43230
Bambasi,Benshangul/Gumuz,Ethiopia,9.7604225,34.7298772,camp,0,20336
Barahle,Afar,Ethiopia,13.8629006,40.0214271,camp,0,28616
Serdo,Afar,Ethiopia,11.95866,41.30781,camp,0,3324
Aysaita,Afar,Ethiopia,11.5746575,41.4355373,camp,0,28754
